State,PetOwnershipRate,DogOwnershipRate,CatOwnershipRate
Alabama,59.8,46.9,26.1
Arizona,58,43,26.4
Arkansas,69,51.6,34.8
California,40.1,40.1,22.9
Colorado,47.2,47.2,27.1
Connecticut,50,24,26.7
Delaware,57.9,42.2,24.1
Florida,56,39.8,24.2
Georgia,51,36.7,20.4
Idaho,70,58.3,33.3
Illinois,48.6,31,21
Indiana,69.2,49.4,37.5
Iowa,59,36.3,35.6
Kansas,62.8,43.1,32.4
Kentucky,64.1,46.5,32.2
Louisiana,54,38.3,19
Maine,63.5,35.9,43.6
Maryland,48.6,30.2,18.6
Massachusetts,49,28.9,23.5
Michigan,62.4,41.9,31.2
Minnesota,54,35.5,26.5
Mississippi,65.5,51,29.1
Missouri,63.5,45.1,28.6
Montana,62,51.9,22.8
Nebraska,51.3,47.1,30.9
Nevada,53,36.8,23.1
New Hampshire,52,23.7,36.4
New Jersey,47.4,29.1,18.9
New Mexico,60,39.4,25.2
New York,50,27,21.1
North Carolina,59,41.3,26.5
North Dakota,63.7,44.3,24.8
Ohio,62.4,37.9,30.7
Oklahoma,65,47.7,28.4
Oregon,59.2,37.8,30
Pennsylvania,60.6,38.9,28.9
Rhode Island,45.4,25.8,16.7
South Carolina,62,45.3,25.2
South Dakota,46,32.1,26.6
Tennessee,61.7,47,30.9
Texas,58.2,43.4,20.5
Utah,58.5,36.2,24.7
Vermont,70,28.3,44.6
Virginia,55.5,35.6,23.9
Washington,63,42.8,30.5
West Virginia,71,49.6,37.7
Wisconsin,59,33.6,32.4
Wyoming,71.8,36,30
